date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202111,AG,female,2826,sex,345258,35473,0.82,10.27,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.536,53.6
202112,AG,female,4232,sex,345258,39705,1.23,11.5,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.526,52.6
202113,AG,female,4999,sex,345258,44704,1.45,12.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.525,52.5
202114,AG,female,6542,sex,345258,51246,1.89,14.84,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.533,53.300000000000004
202115,AG,female,10718,sex,345258,61964,3.1,17.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.571,57.099999999999994
202116,AG,female,11209,sex,345258,73173,3.25,21.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.509,50.9
202117,AG,female,8181,sex,345258,81354,2.37,23.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202118,AG,female,11838,sex,345258,93192,3.43,26.99,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.505,50.5
202119,AG,female,9717,sex,345258,102909,2.81,29.81,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.525,52.5
202120,AG,female,9262,sex,345258,112171,2.68,32.49,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.507,50.7
202121,AG,female,11959,sex,345258,124130,3.46,35.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.483,48.3
202122,AG,female,12601,sex,345258,136731,3.65,39.6,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.461,46.1
202123,AG,female,14596,sex,345258,151327,4.23,43.83,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.453,45.300000000000004
202124,AG,female,11586,sex,345258,162913,3.36,47.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.443,44.3
202125,AG,female,6657,sex,345258,169570,1.93,49.11,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.465,46.5
202126,AG,female,4758,sex,345258,174328,1.38,50.49,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.485,48.5
202127,AG,female,2733,sex,345258,177061,0.79,51.28,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.468,46.800000000000004
202128,AG,female,2655,sex,345258,179716,0.77,52.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.458,45.800000000000004
202129,AG,female,2346,sex,345258,182062,0.68,52.73,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.489,48.9
202130,AG,female,2355,sex,345258,184417,0.68,53.41,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202131,AG,female,2673,sex,345258,187090,0.77,54.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.493,49.3
202132,AG,female,2339,sex,345258,189429,0.68,54.87,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.487,48.699999999999996
202133,AG,female,3330,sex,345258,192759,0.96,55.83,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.508,50.8
202134,AG,female,4551,sex,345258,197310,1.32,57.15,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.501,50.1
202135,AG,female,4577,sex,345258,201887,1.33,58.47,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.497,49.7
202136,AG,female,5514,sex,345258,207401,1.6,60.07,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.477,47.699999999999996
202137,AG,female,5546,sex,345258,212947,1.61,61.68,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.46,46
202138,AG,female,3520,sex,345258,216467,1.02,62.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.483,48.3
202139,AG,female,2266,sex,345258,218733,0.66,63.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.49,49
202140,AG,female,1832,sex,345258,220565,0.53,63.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.487,48.699999999999996
202141,AG,female,1747,sex,345258,222312,0.51,64.39,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.479,47.9
202142,AG,female,1383,sex,345258,223695,0.4,64.79,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202143,AG,female,1180,sex,345258,224875,0.34,65.13,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.464,46.400000000000006
202144,AG,female,952,sex,345258,225827,0.28,65.41,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.461,46.1
202145,AG,female,1451,sex,345258,227278,0.42,65.83,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.476,47.599999999999994
202146,AG,female,1223,sex,345258,228501,0.35,66.18,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.477,47.699999999999996
202147,AG,female,1086,sex,345258,229587,0.31,66.5,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.515,51.5
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202101,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202102,AG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202110,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202111,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202112,AG,unknown,1,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202113,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202114,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202115,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202116,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202117,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202118,AG,unknown,1,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202119,AG,unknown,0,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202120,AG,unknown,2,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202121,AG,unknown,3,sex,NA,8,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202122,AG,unknown,3,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202123,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202124,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202125,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202126,AG,unknown,3,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202127,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202128,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202129,AG,unknown,1,sex,NA,15,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202130,AG,unknown,1,sex,NA,16,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202131,AG,unknown,1,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202132,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202133,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202134,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202135,AG,unknown,2,sex,NA,19,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202136,AG,unknown,2,sex,NA,21,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202137,AG,unknown,3,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202138,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202139,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202140,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202141,AG,unknown,2,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202142,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202143,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202144,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202145,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202146,AG,unknown,1,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202147,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202052,AI,male,8,sex,8361,8,0.1,0.1,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.195,19.5
202053,AI,male,0,sex,8361,8,0,0.1,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,NA,NA
202101,AI,male,150,sex,8361,158,1.79,1.89,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.523,52.300000000000004
202102,AI,male,86,sex,8361,244,1.03,2.92,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.503,50.3
202103,AI,male,170,sex,8361,414,2.03,4.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.484,48.4
202104,AI,male,42,sex,8361,456,0.5,5.45,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.42,42
202105,AI,male,10,sex,8361,466,0.12,5.57,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.37,37
202106,AI,male,39,sex,8361,505,0.47,6.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.375,37.5
202107,AI,male,12,sex,8361,517,0.14,6.18,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.414,41.4
202108,AI,male,29,sex,8361,546,0.35,6.53,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.509,50.9
202109,AI,male,39,sex,8361,585,0.47,7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.506,50.6
202110,AI,male,12,sex,8361,597,0.14,7.14,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.667,66.7
202111,AI,male,13,sex,8361,610,0.16,7.3,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.464,46.400000000000006
202112,AI,male,96,sex,8361,706,1.15,8.44,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.39,39
202113,AI,male,263,sex,8361,969,3.15,11.59,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.494,49.4
202114,AI,male,145,sex,8361,1114,1.73,13.32,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202115,AI,male,51,sex,8361,1165,0.61,13.93,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202116,AI,male,227,sex,8361,1392,2.71,16.65,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.518,51.800000000000004
202117,AI,male,233,sex,8361,1625,2.79,19.44,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.528,52.800000000000004
202118,AI,male,192,sex,8361,1817,2.3,21.73,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.503,50.3
202119,AI,male,218,sex,8361,2035,2.61,24.34,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202120,AI,male,186,sex,8361,2221,2.22,26.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.55,55.00000000000001
202121,AI,male,365,sex,8361,2586,4.37,30.93,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.533,53.300000000000004
202122,AI,male,418,sex,8361,3004,5,35.93,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.546,54.6
202123,AI,male,189,sex,8361,3193,2.26,38.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.553,55.300000000000004
202124,AI,male,66,sex,8361,3259,0.79,38.98,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.485,48.5
202125,AI,male,78,sex,8361,3337,0.93,39.91,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.65,65
202126,AI,male,58,sex,8361,3395,0.69,40.61,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.592,59.199999999999996
202127,AI,male,55,sex,8361,3450,0.66,41.26,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.64,64
202128,AI,male,50,sex,8361,3500,0.6,41.86,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.543,54.300000000000004
202129,AI,male,16,sex,8361,3516,0.19,42.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.471,47.099999999999994
202130,AI,male,46,sex,8361,3562,0.55,42.6,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.495,49.5
202131,AI,male,51,sex,8361,3613,0.61,43.21,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.515,51.5
202132,AI,male,43,sex,8361,3656,0.51,43.73,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.494,49.4
202133,AI,male,65,sex,8361,3721,0.78,44.5,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.485,48.5
202134,AI,male,122,sex,8361,3843,1.46,45.96,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.502,50.2
202135,AI,male,105,sex,8361,3948,1.26,47.22,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.482,48.199999999999996
202136,AI,male,122,sex,8361,4070,1.46,48.68,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.547,54.7
202137,AI,male,200,sex,8361,4270,2.39,51.07,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.543,54.300000000000004
202138,AI,male,68,sex,8361,4338,0.81,51.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.493,49.3
202139,AI,male,44,sex,8361,4382,0.53,52.41,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.444,44.4
202140,AI,male,53,sex,8361,4435,0.63,53.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.546,54.6
202141,AI,male,34,sex,8361,4469,0.41,53.45,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.531,53.1
202142,AI,male,21,sex,8361,4490,0.25,53.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.488,48.8
202143,AI,male,15,sex,8361,4505,0.18,53.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.326,32.6
202144,AI,male,16,sex,8361,4521,0.19,54.07,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.516,51.6
202145,AI,male,46,sex,8361,4567,0.55,54.62,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.517,51.7
202146,AI,male,21,sex,8361,4588,0.25,54.87,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.656,65.60000000000001
202147,AI,male,19,sex,8361,4607,0.23,55.1,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.487,48.699999999999996
202052,AI,female,33,sex,7932,33,0.42,0.42,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.805,80.5
202053,AI,female,0,sex,7932,33,0,0.42,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,NA,NA
202101,AI,female,137,sex,7932,170,1.73,2.14,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.477,47.699999999999996
202102,AI,female,85,sex,7932,255,1.07,3.21,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.497,49.7
202103,AI,female,181,sex,7932,436,2.28,5.5,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.516,51.6
202104,AI,female,58,sex,7932,494,0.73,6.23,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.58,57.99999999999999
